Name,Latitud,Longitud,Tipos
.,40.4448885,-3.71035,"['night_club', 'bar', 'point_of_interest', 'establishment']"
Bar Cafeteria,40.4464609,-3.710637599999999,"['bar', 'point_of_interest', 'establishment']"
Café - Bar Al Punto,40.44584979999999,-3.7121838,"['bar', 'point_of_interest', 'establishment']"
Tapas La Vuelta Bar,40.44631979999999,-3.7133939,"['bar', 'point_of_interest', 'establishment']"
Bar Terraza La Hacienda,40.4463442,-3.7144371,"['bar', 'point_of_interest', 'establishment']"
Gochu Santa Engracia,40.4434675,-3.7026377,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Huete Comidas Y Tapas,40.4428571,-3.7018904,"['bar', 'point_of_interest', 'establishment']"
Bar Cervecería,40.4428571,-3.7018904,"['bar', 'point_of_interest', 'establishment']"
Zalber,40.442868,-3.7019215,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Cerveceria Zalher,40.4428158,-3.701915999999999,"['bar', 'point_of_interest', 'establishment']"
Huete Cerveceria,40.44276349999999,-3.7018803,"['bar', 'point_of_interest', 'establishment']"
Encascarados,40.4434851,-3.7025998,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Sotoverde,40.443811,-3.702779799999999,"['bar', 'point_of_interest', 'establishment']"
Cafetería La Mina,40.4431362,-3.699584099999999,"['bar', 'point_of_interest', 'establishment']"
Bar Casa de domingo,40.4440973,-3.7002331,"['bar', 'point_of_interest', 'establishment']"
Restaurante Si Señor,40.4422308,-3.702992200000001,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dime que me Quieres,40.44345249999999,-3.705460299999999,"['night_club', 'bar', 'point_of_interest', 'establishment']"
Gochu Santa Engracia,40.4434675,-3.7026377,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Taberna Rios Rosas,40.44192890000001,-3.703289000000001,"['bar', 'point_of_interest', 'establishment']"
Roan Y Mape S L,40.44266289999999,-3.7038754,"['bar', 'point_of_interest', 'establishment']"
Cervecería El Cañonazo,40.444082,-3.703792099999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Restaurante Si Señor,40.4422308,-3.702992200000001,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Encascarados,40.4434851,-3.7025998,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Sotoverde,40.443811,-3.702779799999999,"['bar', 'point_of_interest', 'establishment']"
Gran Sol,40.4419309,-3.7029939,"['bar', 'point_of_interest', 'establishment']"
Lampaza S C,40.44192789999999,-3.7029414,"['bar', 'point_of_interest', 'establishment']"
Söttgodis RR,40.44192799999999,-3.702941,"['bar', 'point_of_interest', 'establishment']"
Akhes Bar de Copas y Coktelería desde 1988,40.4431811,-3.7046246,"['bar', 'point_of_interest', 'establishment']"
Dime que me Quieres,40.44345249999999,-3.705460299999999,"['night_club', 'bar', 'point_of_interest', 'establishment']"
Terraza del Parque Santander,40.4429133,-3.7092094,"['bar', 'point_of_interest', 'establishment']"
Kiosko Santander,40.44291279999999,-3.709116,"['bar', 'point_of_interest', 'establishment']"
Cervecería 100 Montaditos,40.4420227,-3.7130877,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Ricorda,40.44152529999999,-3.7124588,"['night_club', 'bar', 'point_of_interest', 'establishment']"
Scalini Café,40.4428362,-3.714324,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
The New Café & Restaurant,40.442925,-3.7127312,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
vinoseleccion.co.uk,40.4429891,-3.7130643,"['bar', 'food', 'point_of_interest', 'establishment']"
La esquinita iberica,40.4427434,-3.7130501,"['bar', 'point_of_interest', 'establishment']"
Hostelería Hermanos De Cáceres S L,40.4420227,-3.7130877,"['bar', 'point_of_interest', 'establishment']"
Blue Moon Taphouse - Vallehermoso,40.4418503,-3.7133819,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Ferros Café Maestro Ángel Llorca,40.4435391,-3.714255600000001,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Scalini Café,40.4428362,-3.714324,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
After Nine Madrid,40.4436882,-3.714663599999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Ferros Café Maestro Ángel Llorca,40.4435391,-3.714255600000001,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Ponzano somersault,40.4408126,-3.6994553,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Francisco José Bergaz Pérez,40.440861,-3.7008542,"['bar', 'point_of_interest', 'establishment']"
Concept Big Craft,40.44076199999999,-3.700061099999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Asccuas,40.4397627,-3.7006739,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Taberna Gourmet Olivia,40.4418306,-3.702681999999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
